id;name;entity_name;table_name;clazz_name;jhi_system;jhi_generated;creat_at;generate_at;generate_class_at;description;creator_id;business_type_id;tree_table;edit_in_modal
20;通用大数;CommonBigDecimal;common_big_decimal;CommonBigDecimal;true;true;2021-06-18T00:55:17;2021-06-18T00:55:17;2021-06-18T00:55:17;通用大数\n;1;11;false;false
21;通用长整;CommonLong;common_long;CommonLong;true;true;2021-06-17T23:07:05;2021-06-17T23:07:05;2021-06-17T23:07:05;通用长整\n;1;11;false;false
22;通用日期;CommonLocalDate;common_local_date;CommonLocalDate;true;true;2021-06-18T14:39:49;2021-06-18T14:39:49;2021-06-18T14:39:49;通用日期\n;1;11;false;false
23;可视权限;ViewPermission;view_permission;ViewPermission;true;true;2021-06-17T22:22:38;2021-06-17T22:22:38;2021-06-17T22:22:38;可视权限\n权限分为菜单权限、按钮权限等\n;1;1;true;false
24;通用条件条目;CommonConditionItem;common_condition_item;CommonConditionItem;true;true;2021-06-17T17:42:45;2021-06-17T17:42:45;2021-06-17T17:42:45;通用条件条目;1;10;false;false
25;行政区划;AdministrativeDivision;administrative_division;AdministrativeDivision;true;true;2021-06-18T01:31:44;2021-06-18T01:31:44;2021-06-18T01:31:44;行政区划;1;4;true;false
26;关系模型;CommonTable;common_table;CommonTable;true;true;2021-06-17T18:11:30;2021-06-17T18:11:30;2021-06-17T18:11:30;关系模型;1;9;false;false
27;通用长文本;CommonTextBlob;common_text_blob;CommonTextBlob;true;true;2021-06-18T14:18:53;2021-06-18T14:18:53;2021-06-18T14:18:53;通用长文本\n;1;11;false;false
28;通用整数;CommonInteger;common_integer;CommonInteger;true;true;2021-06-18T12:06:35;2021-06-18T12:06:35;2021-06-18T12:06:35;通用整数\n;1;11;false;false
29;资源分类;ResourceCategory;resource_category;ResourceCategory;true;true;2021-06-18T00:07:14;2021-06-18T00:07:14;2021-06-18T00:07:14;资源分类;1;2;true;false
30;上传文件;UploadFile;upload_file;UploadFile;true;true;2021-06-17T17:12:03;2021-06-17T17:12:03;2021-06-17T17:12:03;上传文件;1;2;false;false
31;岗位;Position;position;Position;true;true;2021-06-17T16:52:15;2021-06-17T16:52:15;2021-06-17T16:52:15;岗位\n@author jhipster.pro;1;4;false;false
32;数据字典;DataDictionary;data_dictionary;DataDictionary;true;true;2021-06-18T05:25:18;2021-06-18T05:25:18;2021-06-18T05:25:18;数据字典;1;4;true;false
33;通用条件;CommonCondition;common_condition;CommonCondition;true;true;2021-06-18T13:25:31;2021-06-18T13:25:31;2021-06-18T13:25:31;通用条件;1;10;false;false
34;GPS信息;GpsInfo;gps_info;GpsInfo;true;true;2021-06-17T21:44:10;2021-06-17T21:44:10;2021-06-17T21:44:10;GPS信息;1;4;false;false
